               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11361,            0.042732,                   0,           0.0044037,                0.32,           0.0088606,           0.0020936,            0.095003,            0.030665,                   0,              0.0706,           0.0032667,           0.0032667
                   1,            0.092719,            0.042226,                   0,             0.19952,             0.22909,             0.09382,            0.019743,            0.088082,             0.02687,                   0,            0.040535,           0.0065347,           0.0065347
                   2,            0.082096,             0.04052,                   0,              0.1635,             0.29091,              0.1147,            0.026534,            0.082472,            0.025152,                   0,            0.010403,           0.0097367,           0.0097367
                   3,            0.077485,            0.036416,                   0,             0.28589,             0.42182,             0.24183,             0.06472,            0.064702,            0.024988,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.065388,            0.032315,                   0,             0.32194,             0.46909,             0.26213,            0.076946,            0.065251,            0.022885,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.062287,            0.030959,                   0,             0.44628,             0.64727,             0.41107,             0.17095,            0.054566,            0.020628,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.056719,            0.030714,                   0,             0.60306,             0.64727,             0.63776,             0.21266,            0.051252,            0.020263,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.052749,            0.029936,                   0,             0.48717,             0.63273,             0.49227,             0.22166,            0.048336,            0.020727,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.046864,            0.028131,                   0,             0.64056,             0.64157,             0.66207,             0.32225,            0.045536,            0.019379,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.04663,            0.030634,                   0,             0.62668,             0.65091,             0.67399,             0.27534,            0.041859,            0.019399,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.043484,            0.027468,                   0,             0.75435,             0.74182,             0.75692,              0.3973,            0.037651,            0.018763,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.042317,            0.025369,                   0,             0.86927,             0.74955,             0.82212,             0.36974,            0.040167,            0.018823,                   0,             0.00901,             0.00901,             0.00901
